NBA ID,Season,Player,Driving Dunk Rating,,Driving Dunk,Drving Dunk_PG,Drving Dunk_FGM,Rim Shot Creation,dunkScore_max,dunkScore_total,dunkScore_average,jumpSubscore_average,powerSubscore_average,styleSubscore_average,hangTime_average,takeoffDistance_average,DRIVES,DRIVE_FGM
1740,2013-14,Rashard Lewis,54.600224458032606,-0.4328296921147678,-0.6779021503283924,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,-0.5277323601499615,-0.5890161765836489
1882,2013-14,Elton Brand,54.33536588368548,-0.44986940053372754,-0.693601183942801,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,-0.7370528083420753,-0.5890161765836489
1882,2014-15,Elton Brand,53.936482853054905,-0.4755315885598104,-0.7172442852527086,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,-0.8155479764141181,-0.8257623593103735
1882,2015-16,Elton Brand,36.68989169492512,-1.463619341248969,-1.627589841764266,-1.743696367950601,-1.659261028651403,-1.3176979031732325,,,,,,,,,-1.7632178643660896,-1.7073892679470113
1889,2013-14,Andre Miller,56.80737996115867,-0.33352982343545634,-0.586415140223906,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,0.10022898442638023,0.0028492802331624603
1889,2014-15,Andre Miller,56.65042264410611,-0.33991971409256616,-0.5923022778293091,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,0.021733816354337555,0.0028492802331624603
1889,2015-16,Andre Miller,46.4476678244554,-0.9573254093013562,-1.1611308354838097,-1.743696367950601,-1.659261028651403,0.3488443020533003,,,,,,,,,-1.135256519789748,-1.1155238111301997
1890,2013-14,Shawn Marion,77.11918023597346,0.6348363159184837,0.3057604885478393,0.3115312859344046,0.5799541245011024,,,,,,,,,,-0.475402248101933,-0.5890161765836489
1890,2014-15,Shawn Marion,57.093841937803035,-0.3218676674904481,-0.5756705562383346,-0.6029993474326001,-0.5353395133361523,,,,,,,,,,-0.6585576402700327,-0.5890161765836489
1891,2013-14,Jason Terry,54.682195177961134,-0.4275560959326646,-0.6730434777680371,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,-0.34457696798186177,-0.7073892679470112
1891,2014-15,Jason Terry,55.23276513720269,-0.39763398080184187,-0.6454756180545275,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,-0.21375168786179058,-0.47064308522028664
1891,2015-16,Jason Terry,59.88331223937541,-0.20830551853797905,-0.47104341415968337,-0.7436963679506009,-0.6592610286514028,0.10270056978413088,,,,,,,,,-0.29224685593383337,-0.3522699938569243
1891,2016-17,Jason Terry,53.75701421046831,-0.4870777253898536,-0.7278819784429114,-0.7436963679506009,-0.6592610286514028,-0.898836968731941,,,,,,,,,-0.475402248101933,-0.5890161765836489
1891,2017-18,Jason Terry,54.22032998445069,-0.45727024902619384,-0.7004197377819674,-0.7436963679506009,-0.6592610286514028,-0.6762730712839251,,,,,,,,,-0.6585576402700327,-0.7073892679470112
1897,2013-14,Metta World Peace,59.277543069179785,-0.23296699233025836,-0.4937645368764937,-0.4671539483117718,-0.5353395133361523,,,,,,,,,,-0.5277323601499615,-0.3522699938569243
1897,2015-16,Metta World Peace,66.27059101747712,0.05423335345239868,-0.2291609549575157,-0.6291287941002288,-0.5973002709937776,1.0300501424841972,,,,,,,,,-0.5277323601499615,-0.47064308522028664
