NBA ID,Season,Player,Layup Rating,,Layup,Finishing Talent,Rim Shot Creation,Drives Per 75 Possessions,Rim Shot Making,Rim Shot Making Efficiency,Paint Shooting Talent,Rim Makes Consistency,DRIVES,DRIVE_FGM,Stable Rim FG%,Contact Finish Rate,Rim Attempt Consistency,less_than_5ft_FGM,Rim FG%,Drive Foul Drawn Rate,less_than_5ft_FG_PCT
203939,2024-25,Dwight Powell,73.50670003527799,0.03699743092196252,-0.2292316979827983,-0.4868787216498263,-1.591984817103131,-1.072739969317296,-0.24414562238871884,-0.17945763789592148,-0.727194426795331,-0.5396779564008775,-0.8681133097522115,-0.8258265861989712,1.322293588673536,-0.17798458865705546,-0.6482725782867564,-0.027645249973207827,0.8535881982564036,1.9897788435012482,-0.1417987397288669
203939,2025-26,Dwight Powell,73.21421478573355,0.015641200287842813,-0.2514668644442676,-0.4289025209719932,-1.7527624170639573,-1.0998683281607846,-0.12091789049122321,0.2176198850335425,-0.8761632705136104,-0.04259780768694666,-0.8419835055838724,-0.707601619579336,0.8197203307034948,0.4305682057569183,-0.17557207471938513,-0.027645249973207827,0.4388220685591131,1.459981980359821,-0.1417987397288669
203940,2014-15,Adreian Payne,72.13750260875693,-0.07732235455563834,-0.3482564221245588,,,,,,,,-0.4239066388904484,-0.3529267197204303,,,,-0.027645249973207827,,,-0.1417987397288669
203940,2015-16,Adreian Payne,46.972881259752654,-1.6371369930574662,-1.9722667041971789,-1.4520930012431266,-1.3181315251058145,-1.473829277926431,-1.4597941532093361,-1.7750739222901175,-1.5037411612179121,-2.1159021511390925,-1.6852046805738383,-1.707601619579336,-2.4214847386223672,-2.4236576121572746,-1.7902558797245733,-1.0276452499732078,-1.4624853224993966,-1.0297438526319151,-1.141798739728867
203940,2016-17,Adreian Payne,53.499440460687154,-1.2908334990625998,-1.6117107630723335,-1.0694500767694277,-1.1573539251449882,-1.196285298989201,-1.13632135697841,-1.5531776594765936,-1.4540848799784856,-1.5091311316195748,-1.6590748764054994,-1.5893766529597007,-2.038895186383913,-2.4236576121572746,-1.2136651555929459,-1.0276452499732078,-1.4624853224993966,0.08344040366425033,-1.141798739728867
203940,2017-18,Adreian Payne,51.09633252892119,-1.4183439755014213,-1.744469053510946,-1.4984739617853928,-2.0478144787741805,-2.0101360642938606,0.004026052213999253,0.011730579632234703,-1.2678738253306363,-2.5657735706455567,-1.8419835055838725,-1.5893766529597007,-1.0744978535224805,-2.4236576121572746,-3.317442122019157,-1.0276452499732078,0.0987865782561626,-1.924103903776602,-1.141798739728867
203943,2014-15,Noah Vonleh,51.16728289516409,-1.4145793027276545,-1.7405494420761485,,,,,,,,-1.7374642889105165,-1.707601619579336,,,,-1.0276452499732078,,,-1.141798739728867
203943,2015-16,Noah Vonleh,70.94810703417025,-0.18395092788100553,-0.45927339501914144,-0.26656915907406037,0.6094315515912606,-0.7805884125412643,-0.8294773489018233,-1.0436851878012254,-0.6527100049361914,0.2434315516288911,-0.6852046805738384,-0.5893766529597008,-1.55957919238891,-0.09493972042370752,0.3386845170736882,-0.027645249973207827,-0.30540368189063577,-0.06383969035883881,-0.1417987397288669
203943,2016-17,Noah Vonleh,71.13401982685791,-0.16728396167499043,-0.44192048408895357,-0.08104531690499431,0.13946625939807583,-0.9391849719339671,-0.4597941532093362,-0.4363901527326335,-0.5533974424573384,0.1309636967522751,-0.7374642889105164,-0.5893766529597008,-1.7972827603477126,-0.268337405294938,-0.05609832107048965,-0.027645249973207827,-0.4060065303704038,0.035825066073707015,-0.1417987397288669
203943,2017-18,Noah Vonleh,73.42149088667456,0.030775762538527002,-0.23570942500044584,0.10447852526407182,0.6589015823484379,-0.571908729129813,-0.21333868941434495,-0.06267013115196145,-0.39201452842920237,0.18789187020834133,-0.5545556597321435,-0.47115168634006555,-0.8328854274862822,0.10968283490326171,0.23825730386157312,-0.027645249973207827,-0.13714394700634483,-0.549049688780443,-0.1417987397288669
