NBA_ID,Season,Player,FT_PCT,MatchedBy,SourcePlayerID,SourcePlayer,SourceTeam,SourceFile
2216,2015-16,Zach Randolph,0.796,season+player,2216,Zach Randolph,MEM,general_traditional.csv
2216,2016-17,Zach Randolph,0.731,season+player,2216,Zach Randolph,MEM,general_traditional.csv
2216,2017-18,Zach Randolph,0.785,season+player,2216,Zach Randolph,SAC,general_traditional.csv
2217,2014-15,Brendan Haywood,0.538,season+player,2217,Brendan Haywood,CLE,general_traditional.csv
2222,2013-14,Gerald Wallace,0.465,season+player,2222,Gerald Wallace,BOS,general_traditional.csv
2222,2014-15,Gerald Wallace,0.4,season+player,2222,Gerald Wallace,BOS,general_traditional.csv
2223,2013-14,Samuel Dalembert,0.737,season+player,2223,Samuel Dalembert,DAL,general_traditional.csv
2223,2014-15,Samuel Dalembert,0.7,season+player,2223,Samuel Dalembert,NYK,general_traditional.csv
2224,2013-14,Jamaal Tinsley,0.0,season+player,2224,Jamaal Tinsley,UTA,general_traditional.csv
2225,2013-14,Tony Parker,0.811,season+player,2225,Tony Parker,SAS,general_traditional.csv
2225,2014-15,Tony Parker,0.783,season+player,2225,Tony Parker,SAS,general_traditional.csv
2225,2015-16,Tony Parker,0.76,season+player,2225,Tony Parker,SAS,general_traditional.csv
2225,2016-17,Tony Parker,0.726,season+player,2225,Tony Parker,SAS,general_traditional.csv
2225,2017-18,Tony Parker,0.705,season+player,2225,Tony Parker,SAS,general_traditional.csv
2225,2018-19,Tony Parker,0.734,season+player,2225,Tony Parker,CHA,general_traditional.csv
2229,2013-14,Mike James,0.0,season+player,2229,Mike James,CHI,general_traditional.csv
2248,2013-14,Earl Watson,1.0,season+player,2248,Earl Watson,POR,general_traditional.csv
2365,2013-14,Chris Andersen,0.71,season+player,2365,Chris Andersen,MIA,general_traditional.csv
2365,2014-15,Chris Andersen,0.667,season+player,2365,Chris Andersen,MIA,general_traditional.csv
2365,2015-16,Chris Andersen,0.694,season+player,2365,Chris Andersen,MEM,general_traditional.csv
2365,2016-17,Chris Andersen,0.714,season+player,2365,Chris Andersen,CLE,general_traditional.csv
2399,2013-14,Mike Dunleavy,0.854,season+player,2399,Mike Dunleavy,CHI,general_traditional.csv
2399,2014-15,Mike Dunleavy,0.805,season+player,2399,Mike Dunleavy,CHI,general_traditional.csv
2399,2015-16,Mike Dunleavy,0.784,season+player,2399,Mike Dunleavy,CHI,general_traditional.csv
2399,2016-17,Mike Dunleavy,0.8,season+player,2399,Mike Dunleavy,ATL,general_traditional.csv
2400,2013-14,Drew Gooden,0.889,season+player,2400,Drew Gooden,WAS,general_traditional.csv
2400,2014-15,Drew Gooden,0.773,season+player,2400,Drew Gooden,WAS,general_traditional.csv
2400,2015-16,Drew Gooden,0.643,season+player,2400,Drew Gooden,WAS,general_traditional.csv
2403,2013-14,Nene,0.583,season+player,2403,Nene,WAS,general_traditional.csv
2403,2014-15,Nene,0.604,season+player,2403,Nene,WAS,general_traditional.csv
2403,2015-16,Nene,0.578,season+player,2403,Nene,WAS,general_traditional.csv
2403,2016-17,Nene,0.589,season+player,2403,Nene,HOU,general_traditional.csv
2403,2017-18,Nene,0.636,season+player,2403,Nene,HOU,general_traditional.csv
2403,2018-19,Nene,0.66,season+player,2403,Nene,HOU,general_traditional.csv
2405,2013-14,Amare Stoudemire,0.739,season+player,2405,Amar'e Stoudemire,NYK,general_traditional.csv
2405,2014-15,Amare Stoudemire,0.72,season+player,2405,Amar'e Stoudemire,DAL,general_traditional.csv
2405,2015-16,Amare Stoudemire,0.746,season+player,2405,Amar'e Stoudemire,MIA,general_traditional.csv
2406,2013-14,Caron Butler,0.84,season+player,2406,Caron Butler,OKC,general_traditional.csv
2406,2014-15,Caron Butler,0.902,season+player,2406,Caron Butler,DET,general_traditional.csv
2406,2015-16,Caron Butler,0.833,season+player,2406,Caron Butler,SAC,general_traditional.csv
2408,2013-14,Melvin Ely,0.0,season+player,2408,Melvin Ely,NOP,general_traditional.csv
2419,2013-14,Tayshaun Prince,0.567,season+player,2419,Tayshaun Prince,MEM,general_traditional.csv
2419,2014-15,Tayshaun Prince,0.754,season+player,2419,Tayshaun Prince,DET,general_traditional.csv
2419,2015-16,Tayshaun Prince,0.684,season+player,2419,Tayshaun Prince,MIN,general_traditional.csv
2422,2013-14,John Salmons,0.769,season+player,2422,John Salmons,TOR,general_traditional.csv
2422,2014-15,John Salmons,0.5,season+player,2422,John Salmons,NOP,general_traditional.csv
2427,2013-14,Roger Mason Jr,1.0,season+player,2427,Roger Mason Jr.,MIA,general_traditional.csv
2430,2013-14,Carlos Boozer,0.767,season+player,2430,Carlos Boozer,CHI,general_traditional.csv
2430,2014-15,Carlos Boozer,0.627,season+player,2430,Carlos Boozer,LAL,general_traditional.csv
2440,2013-14,Matt Barnes,0.733,season+player,2440,Matt Barnes,LAC,general_traditional.csv
2440,2014-15,Matt Barnes,0.779,season+player,2440,Matt Barnes,LAC,general_traditional.csv
2440,2015-16,Matt Barnes,0.804,season+player,2440,Matt Barnes,MEM,general_traditional.csv
2440,2016-17,Matt Barnes,0.787,season+player,2440,Matt Barnes,GSW,general_traditional.csv
2446,2013-14,Rasual Butler,0.571,season+player,2446,Rasual Butler,IND,general_traditional.csv
2446,2014-15,Rasual Butler,0.791,season+player,2446,Rasual Butler,WAS,general_traditional.csv
2446,2015-16,Rasual Butler,0.688,season+player,2446,Rasual Butler,SAS,general_traditional.csv
2449,2013-14,Luis Scola,0.728,season+player,2449,Luis Scola,IND,general_traditional.csv
2449,2014-15,Luis Scola,0.699,season+player,2449,Luis Scola,IND,general_traditional.csv
2449,2015-16,Luis Scola,0.726,season+player,2449,Luis Scola,TOR,general_traditional.csv
2449,2016-17,Luis Scola,0.676,season+player,2449,Luis Scola,BKN,general_traditional.csv
2457,2013-14,Jannero Pargo,0.727,season+player,2457,Jannero Pargo,CHA,general_traditional.csv
2457,2014-15,Jannero Pargo,1.0,season+player,2457,Jannero Pargo,CHA,general_traditional.csv
2501,2013-14,Reggie Evans,0.554,season+player,2501,Reggie Evans,SAC,general_traditional.csv
2501,2014-15,Reggie Evans,0.619,season+player,2501,Reggie Evans,SAC,general_traditional.csv
2544,2013-14,LeBron James,0.75,season+player,2544,LeBron James,MIA,general_traditional.csv
2544,2014-15,LeBron James,0.71,season+player,2544,LeBron James,CLE,general_traditional.csv
2544,2015-16,LeBron James,0.731,season+player,2544,LeBron James,CLE,general_traditional.csv
2544,2016-17,LeBron James,0.674,season+player,2544,LeBron James,CLE,general_traditional.csv
2544,2017-18,LeBron James,0.731,season+player,2544,LeBron James,CLE,general_traditional.csv
2544,2018-19,LeBron James,0.665,season+player,2544,LeBron James,LAL,general_traditional.csv
2544,2019-20,LeBron James,0.693,season+player,2544,LeBron James,LAL,general_traditional.csv
2544,2020-21,LeBron James,0.698,season+player,2544,LeBron James,LAL,general_traditional.csv
2544,2021-22,LeBron James,0.756,season+player,2544,LeBron James,LAL,general_traditional.csv
2544,2022-23,LeBron James,0.768,season+player,2544,LeBron James,LAL,general_traditional.csv
2544,2023-24,LeBron James,0.75,season+player,2544,LeBron James,LAL,general_traditional.csv
2544,2024-25,LeBron James,0.782,season+player,2544,LeBron James,LAL,general_traditional.csv
2544,2025-26,Lebron James,0.737,season+player,2544,LeBron James,LAL,general_traditional.csv
2546,2013-14,Carmelo Anthony,0.848,season+player,2546,Carmelo Anthony,NYK,general_traditional.csv
2546,2014-15,Carmelo Anthony,0.797,season+player,2546,Carmelo Anthony,NYK,general_traditional.csv
2546,2015-16,Carmelo Anthony,0.829,season+player,2546,Carmelo Anthony,NYK,general_traditional.csv
